word,ham_prob,spam_prob
!,0.01281,0.00934
!!,0.00289,0.00021
!!!,0.00141,0.00075
!!!!,0.00056,0.0
!!!smile,8e-05,0.0
!!''.,0.00165,0.0
!1,0.00024,0.0
!:-),0.00028,0.0
!recharge,0.0,0.00021
!this,0.0,0.00075
!you,0.00032,0.0
"""",0.00225,0.00172
"""	""""for",0.0,0.00011
"""	**free",0.0,0.00011
"""	-pls",0.0,0.00011
"""	07732584351",0.0,0.00011
"""	09066362231",0.0,0.00011
"""	44",0.0,0.00011
"""	449050000301",0.0,0.00011
"""	5",0.0,0.00011
"""	88800",0.0,0.00011
"""	<forwarded",0.0,0.00011
"""	a",0.0,0.00021
"""	as",0.0,0.00021
"""	bears",0.0,0.00011
"""	bloomberg",0.0,0.00021
"""	call",0.0,0.00011
"""	congrats!",0.0,0.00011
"""	congratulations",0.0,0.00011
"""	customer",0.0,0.00032
"""	dear",0.0,0.00054
"""	december",0.0,0.00011
"""	do",0.0,0.00097
"""	don't",0.0,0.00011
"""	dont",0.0,0.00011
"""	dorothy@kiefer.com",0.0,0.00011
"""	eeta",0.0,0.00011
"""	enjoy",0.0,0.00011
"""	free",0.0,0.00086
"""	freemsg",0.0,0.00032
"""	freemsg:",0.0,0.00011
"""	freemsg:feelin",0.0,0.00011
"""	get",0.0,0.00011
"""	goldviking",0.0,0.00011
"""	good",0.0,0.00011
"""	had",0.0,0.00011
"""	here",0.0,0.00011
"""	hey",0.0,0.00011
"""	hi",0.0,0.00011
"""	http//tms.",0.0,0.00011
"""	i'd",0.0,0.00011
"""	important",0.0,0.00011
"""	jamster!",0.0,0.00011
"""	loa!!",0.0,0.00011
"""	loan",0.0,0.00011
"""	loans",0.0,0.00011
"""	lyricalladie(21/f)",0.0,0.00011
"""	message",0.0,0.00011
"""	mila",0.0,0.00011
"""	missed",0.0,0.00011
"""	moby",0.0,0.00011
"""	natalja",0.0,0.00011
"""	new",0.0,0.00011
"""	our",0.0,0.00011
"""	phony",0.0,0.00011
"""	please",0.0,0.00043
"""	promotion",0.0,0.00011
"""	refused",0.0,0.00011
"""	reminder:",0.0,0.00011
"""	reply",0.0,0.00011
"""	romantic",0.0,0.00011
"""	santa",0.0,0.00011
"""	sms.",0.0,0.00011
"""	sorry",0.0,0.00011
"""	spook",0.0,0.00011
"""	summers",0.0,0.00011
"""	tddnewsletter@emc1.co.uk",0.0,0.00011
"""	text82228>>",0.0,0.00011
"""	thank",0.0,0.00011
"""	thanks",0.0,0.00043
"""	the",0.0,0.00011
"""	this",0.0,0.00011
"""	todays",0.0,0.00043
"""	twinks",0.0,0.00011
"""	u",0.0,0.00118
"""	ur",0.0,0.00021
"""	urgent.",0.0,0.00011
"""	valentines",0.0,0.00011
"""	want",0.0,0.00021
"""	we",0.0,0.00075
"""	welcome",0.0,0.00011
"""	what",0.0,0.00011
"""	xclusive@clubsaisai",0.0,0.00011
"""	you",0.0,0.00172
"""	you've",0.0,0.00011
"""	your",0.0,0.00021
"""""",0.00016,0.00021
"""""""",4e-05,0.0
""""".",4e-05,0.0
"""""1""""",0.0,0.00064
"""""1.u",4e-05,0.0
"""""3000",0.0,0.00011
"""""a",8e-05,0.0
"""""adp""""""",0.0,0.00011
"""""ari",0.0,0.00021
"""""be",0.00012,0.0
"""""because",8e-05,0.0
"""""best",8e-05,0.0
"""""can",0.0,0.00021
"""""checkmate""""",4e-05,0.0
"""""club-smartstart"""".venue:",0.00016,0.0
"""""crazy""""",0.0,0.00011
"""""daily",0.0,0.00021
"""""divorce",0.0,0.00011
"""""don't",4e-05,0.0
"""""drink"""".",4e-05,0.0
"""""drive",4e-05,0.0
"""""enjoy""""",4e-05,0.0
"""""faith""""",0.0,0.00021
"""""fall",0.0,0.00043
"""""financial",0.0,0.00021
"""""find",4e-05,0.0
"""""get",4e-05,0.0
"""""go",0.0,0.00021
"""""god's",0.0,0.00021
"""""good",0.0,0.00021
"""""goodmorning",4e-05,0.0
"""""gud",4e-05,0.0
"""""happy",0.00032,0.01224
"""""help""""",0.0,0.00043
"""""history",0.0,0.00086
"""""how",8e-05,0.0
"""""hurt",4e-05,0.0
"""""i",0.00024,0.0
"""""intellectual",8e-05,0.0
"""""irokotv""""",0.0,0.00021
"""""irokotv""""service.",0.0,0.00021
"""""its",4e-05,0.0
"""""jeevithathile",4e-05,0.0
"""""julianaland""""",4e-05,0.0
"""""kudi""""yarasu",4e-05,0.0
"""""life",4e-05,0.0
"""""like"""".""",0.0,0.00043
"""""mercy",0.0,0.00043
"""""merry",0.0,0.00021
"""""miss",8e-05,0.0
"""""mix""""",0.0,0.00011
"""""moniegram",0.0,0.00021
"""""morning""""",4e-05,0.0
"""""nver",4e-05,0.0
